Designator,Mid X,Mid Y,Rotation,Layer
H1,107.8711,-89.1286,0.0,top
H2,189.1511,-89.1286,0.0,top
H3,107.8711,-120.8786,0.0,top
H4,189.1511,-120.8786,0.0,top
LED CONTROL,189.0241,-104.8766,90.0,top
PORT1,126.9211,-89.1286,180.0,top
PORT2,144.7011,-89.1286,180.0,top
PORT3,162.4811,-89.1286,180.0,top
PORT4,180.2611,-89.1286,180.0,top
PORT5,114.2211,-120.8786,0.0,top
PORT6,132.0011,-120.8786,0.0,top
PORT7,149.7811,-120.8786,0.0,top
PORT8,167.5611,-120.8786,0.0,top
R1,115.4911,-101.8286,180.0,bottom
R10,143.4311,-101.8286,0.0,bottom
R11,161.2111,-101.8286,0.0,bottom
R12,178.9911,-101.8286,0.0,bottom
R13,115.4911,-108.1786,180.0,bottom
R14,133.2711,-108.1786,180.0,bottom
R15,151.0511,-108.1786,180.0,bottom
R16,168.8311,-108.1786,180.0,bottom
R2,133.2711,-101.8286,180.0,bottom
R3,151.0511,-101.8286,180.0,bottom
R4,168.8311,-101.8286,180.0,bottom
R5,125.6511,-108.1786,0.0,bottom
R6,143.4311,-108.1786,0.0,bottom
R7,161.2111,-108.1786,0.0,bottom
R8,178.9911,-108.1786,0.0,bottom
R9,125.6511,-101.8286,0.0,bottom
